label,degree
#44055=IfcConnectedFaceSet,27
#44234=IfcConnectedFaceSet,27
#44413=IfcConnectedFaceSet,27
#44642=IfcConnectedFaceSet,27
#44822=IfcConnectedFaceSet,27
#45051=IfcConnectedFaceSet,27
#45662=IfcConnectedFaceSet,27
#45842=IfcConnectedFaceSet,27
#46357=IfcConnectedFaceSet,27
#46586=IfcConnectedFaceSet,27
#46766=IfcConnectedFaceSet,27
#46946=IfcConnectedFaceSet,27
#47174=IfcConnectedFaceSet,27
#47403=IfcConnectedFaceSet,27
#47583=IfcConnectedFaceSet,27
#47763=IfcConnectedFaceSet,27
#48041=IfcConnectedFaceSet,27
#48219=IfcConnectedFaceSet,27
#48399=IfcConnectedFaceSet,27
#48580=IfcConnectedFaceSet,27
#48758=IfcConnectedFaceSet,27
#48938=IfcConnectedFaceSet,27
#49165=IfcConnectedFaceSet,27
#49442=IfcConnectedFaceSet,27
#49622=IfcConnectedFaceSet,27
#49850=IfcConnectedFaceSet,27
#51687=IfcConnectedFaceSet,27
#51916=IfcConnectedFaceSet,27
#52143=IfcConnectedFaceSet,27
#52418=IfcConnectedFaceSet,27
#52646=IfcConnectedFaceSet,27
#53132=IfcConnectedFaceSet,27
#53974=IfcConnectedFaceSet,27
#56470=IfcConnectedFaceSet,27
#56649=IfcConnectedFaceSet,27
#56829=IfcConnectedFaceSet,27
#57056=IfcConnectedFaceSet,27
#57439=IfcConnectedFaceSet,27
#58291=IfcConnectedFaceSet,27
#58470=IfcConnectedFaceSet,27
#58698=IfcConnectedFaceSet,27
#58926=IfcConnectedFaceSet,27
#59154=IfcConnectedFaceSet,27
#60421=IfcConnectedFaceSet,27
#60601=IfcConnectedFaceSet,27
#60828=IfcConnectedFaceSet,27
#61055=IfcConnectedFaceSet,27
#61378=IfcConnectedFaceSet,27
#65255=IfcConnectedFaceSet,27
#67881=IfcConnectedFaceSet,27
#71070=IfcConnectedFaceSet,27
#71307=IfcConnectedFaceSet,27
#71487=IfcConnectedFaceSet,27
#74074=IfcConnectedFaceSet,27
#74254=IfcConnectedFaceSet,27
#74478=IfcConnectedFaceSet,27
#74657=IfcConnectedFaceSet,27
#74836=IfcConnectedFaceSet,27
#75756=IfcConnectedFaceSet,27
#75883=IfcConnectedFaceSet,27
#76010=IfcConnectedFaceSet,27
#76137=IfcConnectedFaceSet,27
#76264=IfcConnectedFaceSet,27
#76391=IfcConnectedFaceSet,27
#78320=IfcConnectedFaceSet,27
#78447=IfcConnectedFaceSet,27
#78574=IfcConnectedFaceSet,27
#84297=IfcConnectedFaceSet,27
#84621=IfcConnectedFaceSet,27
#84800=IfcConnectedFaceSet,27
#84980=IfcConnectedFaceSet,27
#85211=IfcConnectedFaceSet,27
#85833=IfcConnectedFaceSet,27
#88700=IfcConnectedFaceSet,27
#91278=IfcConnectedFaceSet,27
#91458=IfcConnectedFaceSet,27
#94044=IfcConnectedFaceSet,27
#96680=IfcConnectedFaceSet,27
#99258=IfcConnectedFaceSet,27
#99532=IfcConnectedFaceSet,27
#99760=IfcConnectedFaceSet,27
#99988=IfcConnectedFaceSet,27
#100165=IfcConnectedFaceSet,27
#104017=IfcConnectedFaceSet,27
#106602=IfcConnectedFaceSet,27
#111847=IfcConnectedFaceSet,27
#113374=IfcConnectedFaceSet,27
#113554=IfcConnectedFaceSet,27
#115673=IfcConnectedFaceSet,27
#115776=IfcConnectedFaceSet,27
#115879=IfcConnectedFaceSet,27
#116184=IfcConnectedFaceSet,27
#127294=IfcConnectedFaceSet,27
#127464=IfcConnectedFaceSet,27
#127679=IfcConnectedFaceSet,27
#127849=IfcConnectedFaceSet,27
#128345=IfcConnectedFaceSet,27
#128569=IfcConnectedFaceSet,27
#128739=IfcConnectedFaceSet,27
#128954=IfcConnectedFaceSet,27
#129420=IfcConnectedFaceSet,27
#132041=IfcConnectedFaceSet,27
#132211=IfcConnectedFaceSet,27
#132680=IfcConnectedFaceSet,27
#135258=IfcConnectedFaceSet,27
#135428=IfcConnectedFaceSet,27
#135598=IfcConnectedFaceSet,27
#136177=IfcConnectedFaceSet,27
#136349=IfcConnectedFaceSet,27
#136521=IfcConnectedFaceSet,27
#137724=IfcConnectedFaceSet,27
#137991=IfcConnectedFaceSet,27
#138163=IfcConnectedFaceSet,27
#138335=IfcConnectedFaceSet,27
#138900=IfcConnectedFaceSet,27
#139070=IfcConnectedFaceSet,27
#139328=IfcConnectedFaceSet,27
#139684=IfcConnectedFaceSet,27
#139854=IfcConnectedFaceSet,27
#140151=IfcConnectedFaceSet,27
#140321=IfcConnectedFaceSet,27
#140536=IfcConnectedFaceSet,27
#140706=IfcConnectedFaceSet,27
#140960=IfcConnectedFaceSet,27
#144048=IfcConnectedFaceSet,27
#144218=IfcConnectedFaceSet,27
#144388=IfcConnectedFaceSet,27
#144898=IfcConnectedFaceSet,27
#145068=IfcConnectedFaceSet,27
#147717=IfcConnectedFaceSet,27
#147897=IfcConnectedFaceSet,27
#148069=IfcConnectedFaceSet,27
#148241=IfcConnectedFaceSet,27
#148413=IfcConnectedFaceSet,27
#148627=IfcConnectedFaceSet,27
#148886=IfcConnectedFaceSet,27
#149058=IfcConnectedFaceSet,27
#149230=IfcConnectedFaceSet,27
#149444=IfcConnectedFaceSet,27
#149749=IfcConnectedFaceSet,27
#150004=IfcConnectedFaceSet,27
#150176=IfcConnectedFaceSet,27
#150347=IfcConnectedFaceSet,27
#150561=IfcConnectedFaceSet,27
#150775=IfcConnectedFaceSet,27
#150997=IfcConnectedFaceSet,27
#152166=IfcConnectedFaceSet,27
#152383=IfcConnectedFaceSet,27
#152555=IfcConnectedFaceSet,27
#152861=IfcConnectedFaceSet,27
#153679=IfcConnectedFaceSet,27
#153851=IfcConnectedFaceSet,27
#154331=IfcConnectedFaceSet,27
#114775=IfcPolyLoop,26
#114789=IfcPolyLoop,26
#4923=IfcPolyLoop,25
#4950=IfcPolyLoop,25
#4977=IfcPolyLoop,25
#5004=IfcPolyLoop,25
#5401=IfcPolyLoop,25
#5532=IfcPolyLoop,25
#6001=IfcPolyLoop,25
#6028=IfcPolyLoop,25
#6128=IfcPolyLoop,25
#6155=IfcPolyLoop,25
#6385=IfcPolyLoop,25
#6419=IfcPolyLoop,25
#6461=IfcPolyLoop,25
#6488=IfcPolyLoop,25
#6768=IfcPolyLoop,25
#6802=IfcPolyLoop,25
#6844=IfcPolyLoop,25
#6871=IfcPolyLoop,25
#7103=IfcPolyLoop,25
#7137=IfcPolyLoop,25
#7179=IfcPolyLoop,25
#7206=IfcPolyLoop,25
#7438=IfcPolyLoop,25
#7472=IfcPolyLoop,25
#7514=IfcPolyLoop,25
#7541=IfcPolyLoop,25
#7808=IfcPolyLoop,25
#7835=IfcPolyLoop,25
#8035=IfcPolyLoop,25
#8062=IfcPolyLoop,25
#8216=IfcPolyLoop,25
#8243=IfcPolyLoop,25
#8397=IfcPolyLoop,25
#8424=IfcPolyLoop,25
#8577=IfcPolyLoop,25
#8604=IfcPolyLoop,25
#9750=IfcPolyLoop,25
#9777=IfcPolyLoop,25
#11019=IfcPolyLoop,25
#11046=IfcPolyLoop,25
#11199=IfcPolyLoop,25
#11226=IfcPolyLoop,25
#11379=IfcPolyLoop,25
#11406=IfcPolyLoop,25
#11559=IfcPolyLoop,25
#11586=IfcPolyLoop,25
#11787=IfcPolyLoop,25
#11814=IfcPolyLoop,25
#12015=IfcPolyLoop,25
#12042=IfcPolyLoop,25
#12195=IfcPolyLoop,25
#12222=IfcPolyLoop,25
#12416=IfcPolyLoop,25
#12443=IfcPolyLoop,25
#12644=IfcPolyLoop,25
#12671=IfcPolyLoop,25
#12952=IfcPolyLoop,25
#13133=IfcPolyLoop,25
#13160=IfcPolyLoop,25
#13441=IfcPolyLoop,25
#13718=IfcPolyLoop,25
#13745=IfcPolyLoop,25
#13898=IfcPolyLoop,25
#13925=IfcPolyLoop,25
#14079=IfcPolyLoop,25
#14106=IfcPolyLoop,25
#14260=IfcPolyLoop,25
#14287=IfcPolyLoop,25
#14440=IfcPolyLoop,25
#14467=IfcPolyLoop,25
#14717=IfcPolyLoop,25
#14744=IfcPolyLoop,25
#14897=IfcPolyLoop,25
#14924=IfcPolyLoop,25
#15077=IfcPolyLoop,25
#15104=IfcPolyLoop,25
#15284=IfcPolyLoop,25
#15311=IfcPolyLoop,25
#15462=IfcPolyLoop,25
#15489=IfcPolyLoop,25
#15663=IfcPolyLoop,25
#15690=IfcPolyLoop,25
#15879=IfcPolyLoop,25
#15906=IfcPolyLoop,25
#16059=IfcPolyLoop,25
#16086=IfcPolyLoop,25
#16323=IfcPolyLoop,25
#16350=IfcPolyLoop,25
#16500=IfcPolyLoop,25
#16527=IfcPolyLoop,25
#16680=IfcPolyLoop,25
#16707=IfcPolyLoop,25
#16858=IfcPolyLoop,25
#16885=IfcPolyLoop,25
#17035=IfcPolyLoop,25
#17062=IfcPolyLoop,25
#17343=IfcPolyLoop,25
#17524=IfcPolyLoop,25
#17551=IfcPolyLoop,25
#17832=IfcPolyLoop,25
#18073=IfcPolyLoop,25
#18100=IfcPolyLoop,25
#18252=IfcPolyLoop,25
#18279=IfcPolyLoop,25
#18431=IfcPolyLoop,25
#18458=IfcPolyLoop,25
#18660=IfcPolyLoop,25
#18687=IfcPolyLoop,25
#18840=IfcPolyLoop,25
#18867=IfcPolyLoop,25
#19069=IfcPolyLoop,25
#19096=IfcPolyLoop,25
#19352=IfcPolyLoop,25
#19386=IfcPolyLoop,25
#19428=IfcPolyLoop,25
#19455=IfcPolyLoop,25
#19680=IfcPolyLoop,25
#19707=IfcPolyLoop,25
#19860=IfcPolyLoop,25
#19887=IfcPolyLoop,25
#20047=IfcPolyLoop,25
#20081=IfcPolyLoop,25
#20123=IfcPolyLoop,25
#20150=IfcPolyLoop,25
#20522=IfcPolyLoop,25
#20549=IfcPolyLoop,25
#20751=IfcPolyLoop,25
#20778=IfcPolyLoop,25
#20931=IfcPolyLoop,25
#20958=IfcPolyLoop,25
#21111=IfcPolyLoop,25
#21138=IfcPolyLoop,25
#21339=IfcPolyLoop,25
#21366=IfcPolyLoop,25
#21568=IfcPolyLoop,25
#21595=IfcPolyLoop,25
#21748=IfcPolyLoop,25
#21775=IfcPolyLoop,25
#21928=IfcPolyLoop,25
#21955=IfcPolyLoop,25
#22156=IfcPolyLoop,25
#22279=IfcPolyLoop,25
#22281=IfcPolyLoop,25
#23140=IfcPolyLoop,25
#23166=IfcPolyLoop,25
#23779=IfcPolyLoop,25
#23806=IfcPolyLoop,25
#23832=IfcPolyLoop,25
#23931=IfcPolyLoop,25
#23957=IfcPolyLoop,25
#23984=IfcPolyLoop,25
#26796=IfcPolyLoop,25
#27366=IfcPolyLoop,25
#27392=IfcPolyLoop,25
#27419=IfcPolyLoop,25
#30777=IfcPolyLoop,25
#30804=IfcPolyLoop,25
#30806=IfcPolyLoop,25
#31353=IfcPolyLoop,25
#31355=IfcPolyLoop,25
#31906=IfcPolyLoop,25
#31932=IfcPolyLoop,25
#32183=IfcPolyLoop,25
#32504=IfcPolyLoop,25
#33423=IfcPolyLoop,25
#33450=IfcPolyLoop,25
#34594=IfcPolyLoop,25
#34621=IfcPolyLoop,25
#36529=IfcPolyLoop,25
#36556=IfcPolyLoop,25
#36709=IfcPolyLoop,25
#36736=IfcPolyLoop,25
#36887=IfcPolyLoop,25
#36914=IfcPolyLoop,25
#37067=IfcPolyLoop,25
#37094=IfcPolyLoop,25
#37248=IfcPolyLoop,25
#37275=IfcPolyLoop,25
#37426=IfcPolyLoop,25
